| Benchmark              | lsd_c_10_production-k | lsd_c_12_production-k | lsd_c_14_production-k | lsd_c_16_production-k | lsd_c_2_production-k  | lsd_c_4_production-k | lsd_c_6_production-k | lsd_c_8_production-k  | lsd_p_10_production-k | lsd_p_12_production-k  | lsd_p_14_production-k  | lsd_p_16_production-k  | lsd_p_2_production-k   | lsd_p_4_production-k  | lsd_p_6_production-k | lsd_p_8_production-k | msd_c_10_production-k | msd_c_12_production-k | msd_c_14_production-k | msd_c_16_production-k | msd_c_2_production-k | msd_c_4_production-k | msd_c_6_production-k | msd_c_8_production-k | msd_p_10_production-k | msd_p_12_production-k  | msd_p_14_production-k  | msd_p_16_production-k  | msd_p_2_production-k | msd_p_4_production-k | msd_p_6_production-k | msd_p_8_production-k  |
|------------------------|:---------------------:|:---------------------:|:---------------------:|:---------------------:|:---------------------:|:--------------------:|:--------------------:|:---------------------:|:---------------------:|:----------------------:|:----------------------:|:----------------------:|:----------------------:|:---------------------:|:--------------------:|:--------------------:|:---------------------:|:---------------------:|:---------------------:|:---------------------:|:--------------------:|:--------------------:|:--------------------:|:--------------------:|:---------------------:|:----------------------:|:----------------------:|:----------------------:|:--------------------:|:--------------------:|:--------------------:|:---------------------:|
| 10000,63,Random        | 260 us                | 283 us: 1.09x slower  | 407 us: 1.56x slower  | 655 us: 2.52x slower  | 1.03 ms: 3.95x slower | 491 us: 1.89x slower | 347 us: 1.34x slower | 243 us: 1.07x faster  | 1.03 ms: 3.96x slower | 2.14 ms: 8.22x slower  | 4.93 ms: 18.96x slower | 7.64 ms: 29.39x slower | 3.42 ms: 13.16x slower | 1.66 ms: 6.39x slower | 992 us: 3.82x slower | 841 us: 3.24x slower | 169 us: 1.54x faster  | 207 us: 1.25x faster  | 168 us: 1.55x faster  | 156 us: 1.67x faster  | 303 us: 1.17x slower | 235 us: 1.11x faster | 167 us: 1.55x faster | 128 us: 2.04x faster | 959 us: 3.69x slower  | 1.58 ms: 6.07x slower  | 671 us: 2.58x slower   | 3.45 ms: 13.27x slower | 449 us: 1.73x slower | not significant      | 320 us: 1.23x slower | 214 us: 1.21x faster  |
| 10000,48,Random        | 176 us                | 243 us: 1.38x slower  | 333 us: 1.89x slower  | 661 us: 3.76x slower  | 807 us: 4.59x slower  | 411 us: 2.34x slower | 291 us: 1.65x slower | 237 us: 1.35x slower  | 738 us: 4.20x slower  | 1.81 ms: 10.32x slower | 3.85 ms: 21.89x slower | 6.36 ms: 36.19x slower | 2.63 ms: 14.98x slower | 1.37 ms: 7.77x slower | 830 us: 4.72x slower | 773 us: 4.40x slower | 124 us: 1.42x faster  | 197 us: 1.12x slower  | 195 us: 1.11x slower  | 317 us: 1.80x slower  | 291 us: 1.66x slower | 214 us: 1.22x slower | 227 us: 1.29x slower | 178 us: 1.01x slower | 219 us: 1.24x slower  | 1.12 ms: 6.36x slower  | 688 us: 3.91x slower   | 3.94 ms: 22.43x slower | 546 us: 3.11x slower | 438 us: 2.49x slower | 395 us: 2.25x slower | 354 us: 2.02x slower  |
| 10000,32,Random        | 156 us                | 132 us: 1.19x faster  | 270 us: 1.73x slower  | 509 us: 3.25x slower  | 561 us: 3.59x slower  | 294 us: 1.88x slower | 198 us: 1.27x slower | 180 us: 1.15x slower  | 607 us: 3.88x slower  | 952 us: 6.09x slower   | 2.71 ms: 17.30x slower | 4.91 ms: 31.35x slower | 1.82 ms: 11.65x slower | 963 us: 6.15x slower  | 501 us: 3.20x slower | 575 us: 3.68x slower | 175 us: 1.12x slower  | 126 us: 1.25x faster  | 350 us: 2.24x slower  | 333 us: 2.13x slower  | 294 us: 1.88x slower | 214 us: 1.37x slower | 211 us: 1.35x slower | 177 us: 1.13x slower | 783 us: 5.00x slower  | 286 us: 1.83x slower   | 832 us: 5.32x slower   | 3.96 ms: 25.29x slower | 539 us: 3.45x slower | 438 us: 2.80x slower | 318 us: 2.03x slower | 352 us: 2.25x slower  |
| 10000,16,Random        | 79.3 us               | 102 us: 1.28x slower  | 184 us: 2.32x slower  | 378 us: 4.77x slower  | 311 us: 3.92x slower  | 175 us: 2.21x slower | 107 us: 1.34x slower | 119 us: 1.50x slower  | 292 us: 3.69x slower  | 622 us: 7.84x slower   | 1.61 ms: 20.34x slower | 3.35 ms: 42.27x slower | 983 us: 12.39x slower  | 566 us: 7.14x slower  | 283 us: 3.57x slower | 366 us: 4.62x slower | 189 us: 2.38x slower  | 264 us: 3.33x slower  | 351 us: 4.43x slower  | 321 us: 4.05x slower  | 292 us: 3.68x slower | 215 us: 2.71x slower | 161 us: 2.03x slower | 177 us: 2.24x slower | 202 us: 2.55x slower  | 620 us: 7.81x slower   | 2.36 ms: 29.81x slower | 3.98 ms: 50.15x slower | 539 us: 6.80x slower | 432 us: 5.44x slower | 337 us: 4.25x slower | 353 us: 4.45x slower  |
| 10000,63,Few Unique    | 305 us                | not significant       | 426 us: 1.40x slower  | 611 us: 2.00x slower  | 1.22 ms: 4.01x slower | 640 us: 2.10x slower | 443 us: 1.45x slower | 331 us: 1.08x slower  | 948 us: 3.11x slower  | 1.18 ms: 3.86x slower  | 1.65 ms: 5.41x slower  | 3.47 ms: 11.37x slower | 3.39 ms: 11.09x slower | 1.68 ms: 5.52x slower | 996 us: 3.26x slower | 808 us: 2.65x slower | 146 us: 2.09x faster  | 233 us: 1.31x faster  | 166 us: 1.84x faster  | 189 us: 1.61x faster  | 289 us: 1.06x faster | 166 us: 1.84x faster | 330 us: 1.08x slower | 139 us: 2.20x faster | 406 us: 1.33x slower  | 628 us: 2.06x slower   | 723 us: 2.37x slower   | 2.21 ms: 7.23x slower  | 444 us: 1.45x slower | 298 us: 1.02x faster | 290 us: 1.05x faster | 209 us: 1.46x faster  |
| 10000,48,Few Unique    | 222 us                | 260 us: 1.17x slower  | 342 us: 1.54x slower  | 608 us: 2.74x slower  | 953 us: 4.29x slower  | 511 us: 2.30x slower | 359 us: 1.62x slower | 284 us: 1.28x slower  | 686 us: 3.09x slower  | 1.01 ms: 4.54x slower  | 1.40 ms: 6.30x slower  | 3.27 ms: 14.72x slower | 2.63 ms: 11.86x slower | 1.34 ms: 6.06x slower | 828 us: 3.73x slower | 763 us: 3.44x slower | 110 us: 2.01x faster  | 155 us: 1.43x faster  | 198 us: 1.12x faster  | 319 us: 1.44x slower  | 291 us: 1.31x slower | 195 us: 1.14x faster | 305 us: 1.37x slower | 157 us: 1.42x faster | 206 us: 1.08x faster  | 532 us: 2.40x slower   | 697 us: 3.14x slower   | 2.69 ms: 12.13x slower | 550 us: 2.48x slower | 419 us: 1.89x slower | 400 us: 1.80x slower | 347 us: 1.56x slower  |
| 10000,32,Few Unique    | 178 us                | 157 us: 1.13x faster  | 284 us: 1.59x slower  | 482 us: 2.71x slower  | 653 us: 3.66x slower  | 351 us: 1.97x slower | 241 us: 1.35x slower | 207 us: 1.16x slower  | 569 us: 3.19x slower  | 629 us: 3.53x slower   | 1.09 ms: 6.14x slower  | 2.82 ms: 15.83x slower | 1.83 ms: 10.29x slower | 951 us: 5.34x slower  | 500 us: 2.81x slower | 568 us: 3.19x slower | 134 us: 1.33x faster  | 110 us: 1.62x faster  | 356 us: 2.00x slower  | 322 us: 1.81x slower  | 293 us: 1.64x slower | 195 us: 1.09x slower | 260 us: 1.46x slower | 156 us: 1.14x faster | 392 us: 2.20x slower  | 278 us: 1.56x slower   | 842 us: 4.73x slower   | 2.63 ms: 14.77x slower | 555 us: 3.12x slower | 420 us: 2.36x slower | 311 us: 1.74x slower | 348 us: 1.95x slower  |
| 10000,16,Few Unique    | 99.2 us               | 121 us: 1.22x slower  | 212 us: 2.14x slower  | 360 us: 3.63x slower  | 339 us: 3.42x slower  | 194 us: 1.96x slower | 124 us: 1.25x slower | 122 us: 1.23x slower  | 296 us: 2.99x slower  | 448 us: 4.51x slower   | 869 us: 8.76x slower   | 2.39 ms: 24.09x slower | 998 us: 10.06x slower  | 559 us: 5.64x slower  | 314 us: 3.17x slower | 366 us: 3.69x slower | 189 us: 1.90x slower  | 274 us: 2.76x slower  | 370 us: 3.73x slower  | 300 us: 3.02x slower  | 291 us: 2.94x slower | 195 us: 1.96x slower | 163 us: 1.65x slower | 154 us: 1.55x slower | 254 us: 2.56x slower  | 658 us: 6.63x slower   | 1.17 ms: 11.80x slower | 2.62 ms: 26.37x slower | 548 us: 5.53x slower | 417 us: 4.20x slower | 236 us: 2.38x slower | 347 us: 3.49x slower  |
| 10000,63,Nearly Sorted | 279 us                | 272 us: 1.03x faster  | 457 us: 1.64x slower  | 738 us: 2.64x slower  | 1.08 ms: 3.87x slower | 555 us: 1.99x slower | 385 us: 1.38x slower | not significant       | 777 us: 2.78x slower  | 907 us: 3.24x slower   | 1.32 ms: 4.71x slower  | 4.29 ms: 15.36x slower | 3.18 ms: 11.37x slower | 1.57 ms: 5.61x slower | 907 us: 3.24x slower | 755 us: 2.70x slower | 103 us: 2.71x faster  | 119 us: 2.34x faster  | 235 us: 1.19x faster  | 119 us: 2.34x faster  | 115 us: 2.44x faster | 181 us: 1.54x faster | 162 us: 1.72x faster | 114 us: 2.45x faster | 786 us: 2.81x slower  | 1.11 ms: 3.99x slower  | 575 us: 2.06x slower   | 3.14 ms: 11.23x slower | 286 us: 1.02x slower | 187 us: 1.50x faster | 208 us: 1.35x faster | 80.7 us: 3.46x faster |
